etapa,puesto,rep_id,rep_name,grafia,party,party_family,filas_habla_v3,palabras_habla_v3,pct_etapa
I,339,532,Agustin Marcos Escudero,Agustín Marcos Escudero,PSOE,Socialista,3,2033,0.000178
I,340,388,Aurelio Gomez Gonzalez,Aurelio Gómez González,Agrarios,Agrarios,13,1985,0.000173
I,341,295,Luis Fabrega Coello,Luis Fábrega Coello,PRR,Republicanos,9,1955,0.000171
I,342,733,Rafael Picavea Leguia,Rafael Picavea Leguía,PNV,Nacionalista Vasco,11,1918,0.000168
I,343,238,Juan Company Jimenez,Juan Company Jiménez,PRDF,Republicanos,5,1888,0.000165
I,344,853,Ramon Salgado Perez,Ramón Salgado Pérez,PRR,Republicanos,9,1841,0.000161
I,345,419,Jose Grau Jasans,José Grau Jasans,ERC,Catizq,3,1713,0.00015
I,346,561,Jose Maria Martinez Jimenez,José María Martínez Jiménez,PRRS,Republicanos,3,1707,0.000149
I,347,320,Antonio Fernandez Quer,Antonio Fernández Quer,PSOE,Socialista,1,1705,0.000149
I,348,870,Laureano Sanchez Gallego,Laureano Sánchez Gallego,PSOE,Socialista,4,1675,0.000146
I,349,926,Publio Suarez Uriarte,Publio Suárez Uriarte,ASR,Liberales,10,1604,0.00014
I,350,294,Antonio Fabra Ribas,Antonio Fabra Ribas,PSOE,Socialista,1,1547,0.000135
I,351,122,Epifanio Belli Castiel,Epifanio Belli Castiel,ERC,Catizq,3,1485,0.00013
I,352,391,Jose Gomez Osorio,José Gómez Osorio,PSOE,Socialista,5,1449,0.000127
I,353,392,Laureano Gomez Paratcha,Laureano Gómez Paratcha,DLR,Liberales,7,1444,0.000126
I,354,463,Francisco Julia Perello,Francisco Juliá Perelló,Federalista,Republicanos,7,1301,0.000114
I,355,760,Cesar Puig Martinez,César Puig Martínez,PRR,Republicanos,4,1298,0.000113
I,356,264,Jose Diaz Fernandez,José Díaz Fernández,PRRS,Republicanos,9,1289,0.000113
I,357,609,Pedro Molpeceres Ramos,Pedro Molpeceres Ramos,PSOE,Socialista,2,1265,0.000111
I,358,529,Vicente Marco Miranda,Vicente Marco Miranda,PURA,Republicanos,6,1253,0.000109
