fecha,num_session,legislatura,etapa,filas_con_lista,ids_V2
1935-03-28,179,1933-1935,II,5,86435 86473 86636 86643 86648
1935-05-08,182,1933-1935,II,1,86748
1935-05-21,189,1933-1935,II,1,87356
1935-05-23,191,1933-1935,II,5,87478 87502 87514 87558 87582
1935-05-24,192,1933-1935,II,1,87690
1935-05-28,193,1933-1935,II,3,87885 87886 87887
1935-06-04,197,1933-1935,II,9,88227 88228 88230 88231 88232 88233 88234 88235 88236
1935-06-05,198,1933-1935,II,2,88369 88401
1935-06-06,199,1933-1935,II,5,88457 88458 88460 88462 88489
1935-06-12,202,1933-1935,II,1,88990
1935-06-13,203,1933-1935,II,1,89401
1935-06-14,204,1933-1935,II,2,89851 89985
1935-06-19,206,1933-1935,II,2,90266 90267
1935-06-21,208,1933-1935,II,1,90575
1935-06-25,210,1933-1935,II,3,90801 90803 90825
1935-06-26,211,1933-1935,II,1,90923
1935-06-27,212,1933-1935,II,2,91061 91327
1935-06-28,213,1933-1935,II,6,91373 91399 91400 91444 91502 91512
1935-06-29,214,1933-1935,II,11,91553 91557 91561 91565 91570 91573 91600 91612 91652 91675 91781
1935-07-02,215,1933-1935,II,3,92088 92093 92103
1935-07-03,216,1933-1935,II,5,92184 92194 92253 92277 92288
1935-07-04,217,1933-1935,II,9,92324 92341 92360 92401 92402 92403 92422 92442 92462
1935-07-05,218,1933-1935,II,5,92568 92569 92570 92571 92572
1935-07-09,219,1933-1935,II,2,92646 92664
1935-07-10,220,1933-1935,II,3,92889 92913 92935
1935-07-11,221,1933-1935,II,4,93230 93231 93232 93234
1935-07-16,223,1933-1935,II,1,93576
1935-07-17,224,1933-1935,II,1,93678
1935-07-18,225,1933-1935,II,1,93870
1935-07-19,226,1933-1935,II,1,94194
1935-07-20,227,1933-1935,II,1,94349
1935-07-23,228,1933-1935,II,1,94467
1935-07-25,230,1933-1935,II,1,94611
1935-10-03,235,1933-1935,II,1,95272
1935-10-16,243,1933-1935,II,2,96132 96239
1935-10-18,245,1933-1935,II,1,96500
1935-10-23,247,1933-1935,II,2,96832 96911
1935-10-25,249,1933-1935,II,2,97225 97316
1935-10-30,252,1933-1935,II,1,97639
1935-10-31,253,1933-1935,II,2,97662 97718
1935-11-05,254,1933-1935,II,2,97887 97956
1935-11-06,255,1933-1935,II,6,98012 98019 98077 98124 98215 98225
1935-11-12,258,1933-1935,II,4,98457 98458 98508 98555
1935-11-15,262,1933-1935,II,4,99180 99202 99215 99221
1935-11-19,263,1933-1935,II,3,99375 99395 99410
1935-11-20,264,1933-1935,II,6,99521 99543 99546 99559 99598 99635
1935-11-21,265,1933-1935,II,4,99787 99808 99810 99811
1935-11-26,267,1933-1935,II,2,100002 100005
1935-11-27,268,1933-1935,II,4,100181 100205 100310 100329
1935-11-28,269,1933-1935,II,1,100482
1935-11-29,270,1933-1935,II,1,100559
1935-12-03,271,1933-1935,II,3,100727 100728 100789
1935-12-04,272,1933-1935,II,1,100994
1935-12-05,273,1933-1935,II,1,101149
1935-12-06,274,1933-1935,II,1,101260
1935-12-07,275,1933-1935,II,2,101658 101687
1936-03-24,6,1936-1939,III,1,101857
1936-04-01,12,1936-1939,III,1,102056
1936-04-02,13,1936-1939,III,3,102111 102204 102215
1936-04-03,14,1936-1939,III,1,102287
1936-04-07,15,1936-1939,III,1,102358
1936-04-16,18,1936-1939,III,2,102548 102554
1936-04-18,20,1936-1939,III,12,102636 102652 102716 102721 102731 102746 102755 102767 102782 102791 102818 102837
1936-04-28,21,1936-1939,III,1,102988
1936-05-19,29,1936-1939,III,1,103415
1936-05-20,30,1936-1939,III,1,103450
1936-05-21,31,1936-1939,III,1,103626
1936-05-22,32,1936-1939,III,2,103703 103726
1936-05-26,33,1936-1939,III,5,103786 103810 103812 103840 103889
1936-05-27,34,1936-1939,III,2,103939 103962
1936-05-28,35,1936-1939,III,3,104114 104131 104135
1936-06-02,37,1936-1939,III,4,104253 104326 104343 104348
1936-06-04,39,1936-1939,III,3,104522 104537 104548
1936-06-05,40,1936-1939,III,2,104644 104701
1936-06-10,42,1936-1939,III,1,104877
1936-06-11,43,1936-1939,III,5,105009 105086 105113 105115 105117
1936-06-12,44,1936-1939,III,1,105166
1936-06-17,46,1936-1939,III,4,105408 105428 105438 105449
1936-06-18,47,1936-1939,III,2,105538 105588
1936-06-25,51,1936-1939,III,1,105968
1936-06-26,52,1936-1939,III,1,106054
1936-06-30,53,1936-1939,III,5,106184 106190 106192 106194 106196
1936-07-02,55,1936-1939,III,2,106376 106383
1936-07-03,56,1936-1939,III,4,106428 106449 106462 106498
1936-07-07,57,1936-1939,III,1,106632
1936-07-08,58,1936-1939,III,3,106697 106699 106707
1936-07-09,59,1936-1939,III,2,106849 106925
1936-07-10,60,1936-1939,III,3,106953 106971 106994
1937-10-01,64,1936-1939,IV,1,107162
1938-10-01,68,1936-1939,IV,1,107312
