nombre_completo;legislatura;nombre;apellidos;distrito;partido;familia_partidos;ideologia;id_dip
Miguel Cabanellas Ferrer;1933-1936;MIGUEL;CABANELLAS FERRER;Jaén;PRR;Republicanos;C;161
Jose Perez De Rozas Y Masdeu;1933-1936;JOSE;PEREZ DE ROZAS Y MASDEU;Jaén;PRR;Republicanos;C;716
Herminio Fernandez De La Poza;1931-1933;HERMINIO;FERNANDEZ DE LA POZA;León;PRR;Republicanos;C;308
Jose Estadella Arno;1931-1933;JOSE;ESTADELLA ARNO;Lérida;PRR;Republicanos;C;289
Gerardo Abad Conde;1931-1933;GERARDO;ABAD CONDE;Lugo;PRR;Republicanos;C;1
Ubaldo De Azpiazu Y Artazu;1931-1933;UBALDO DE;AZPIAZU Y ARTAZU;Lugo;PRR;Republicanos;C;95
Manuel Becerra Fernandez;1931-1933;MANUEL;BECERRA FERNANDEZ;Lugo;PRR;Republicanos;C;121
Francisco Javier Elola Y Diaz Varela;1931-1933;FRANCISCO JAVIER;ELOLA Y DIAZ VARELA;Lugo;PRR;Republicanos;C;280
Rafael De Vega Barrera;1931-1933;RAFAEL DE;VEGA BARRERA;Lugo;PRR;Republicanos;C;983
Ubaldo De Azpiazu Y Artazu;1933-1936;UBALDO DE;AZPIAZU Y ARTAZU;Lugo;PRR;Republicanos;C;95
Manuel Becerra Fernandez;1933-1936;MANUEL;BECERRA FERNANDEZ;Lugo;PRR;Republicanos;C;121
Clara Campoamor Y Rodriguez;1931-1933;CLARA;CAMPOAMOR Y RODRIGUEZ;Madrid;PRR;Republicanos;C;175
Alejandro Lerroux Garcia;1931-1933;ALEJANDRO;LERROUX GARCIA;Madrid;PRR;Republicanos;C;487
Manuel Torres Campaña;1931-1933;MANUEL;TORRES CAMPAÑA;Madrid;PRR;Republicanos;C;953
Pedro Armasa Briales;1931-1933;PEDRO;ARMASA BRIALES;Málaga;PRR;Republicanos;C;77
Pedro Gomez Chaix;1931-1933;PEDRO;GOMEZ CHAIX;Málaga;PRR;Republicanos;C;387
Pedro Armasa Briales;1933-1936;PEDRO;ARMASA BRIALES;Málaga;PRR;Republicanos;C;77
Francisco Burgos Diaz;1933-1936;FRANCISCO;BURGOS DIAZ;Málaga;PRR;Republicanos;C;159
Eduardo Frapolli Y Ruiz De La Herran;1933-1936;EDUARDO;FRAPOLLI Y RUIZ DE LA HERRAN;Málaga;PRR;Republicanos;C;341
Bernardo Laude Alvarez;1933-1936;BERNARDO;LAUDE ALVAREZ;Málaga;PRR;Republicanos;C;482
